RefCode,Author,Year,Type,Reference,BatVouchers,FlyVouchers,AssociatedReferences
BFR145,Oliveira et al.,2020,Article,"Oliveira, R. D. S. D., S. S. Pereira da Silva, P. G. Guedes, and J. C. De Almeida. 2020. Biologia e parasitologia do morcego insetívoro aéreo Myotis nigricans (Schinz, 1821) (Chiroptera, Vespertilionidae) no município do Rio de Janeiro, Rio de Janeiro, Brasil. Boletim do Museu Paraense Emílio Goeldi - Ciências Naturais 15:633–642.",NA,NA,NA
BFR146,Oscherov et al.,2006,Article,"Oscherov, E. B., M. L. Chatellenaz, and A. M. F. ((Universdad N. del N. F. de C. E. y N. y A. L. de B. de L. P. Milano. 2006. Basilia Carteri (Diptera: Nycteribiidae) En Murcielagos De La Reserva Provincial Ibera (Corrientes, Argentina). FACENA 22:3–6.",NA,NA,NA
BFR147,Oscherov et al.,2012,Article,"Oscherov, E. B., F. M. Idoeta, and A. M. F. Milano. 2012. Nuevos registros de ectoparásitos (Insecta: Diptera) de murciélagos (Chiroptera) del nordeste Argentino. FACENA 28:63–68.",NA,NA,NA
BFR148,Hoffman et al.,1980,Article,"Hoffmann, A., J. G. Palacios-Vargas, and J. B. Morales. 1980. Bioecología de la Cueva de Ocotitlán , Tepoztlán , Morelos. Folia Entomológica Mexicana 43:21–22.",NA,NA,NA
BFR149,Parmelee,1955,Article,"Parmalee, P. W. 1955. A Nycteribiid Fly New to Illinois. The Journal of Parasitology 41:322.",NA,NA,NA
BFR150,Overal,1980,Article,"Overal, W. L. 1980. Host-relations of the Batfly Megistopoda aranea (Diptera: Streblidae) in Panamá. The University of Kansas Science Bulletin 52:1–20.",NA,NA,NA
BFR151,Patricio et al.,2016,Article,"Patricio, P. M. P., E. C. Lourenço, and K. M. Famadas. 2016. Artrópodes hematófagos de morcegos em refúgios urbanos no Estado do Rio de Janeiro. Revista Brasileira de Medicina Veterinaria 38:75–87.",NA,NA,NA
BFR152,Peterson,1960,Article,"Peterson, B. V. 1960. New distribution and host records for bat flies, and a key to the North American species of Basilia Ribeiro (Diptera: Nycteribiidae). Proceedings of the Entomological Society of Ontario 90:30–37.",NA,NA,NA
BFR153,Peterson,1963,Article,"Peterson, B. V. 1963. Additional Records of Some American Bat Flies (Diptera: Nycteribiidae). Proceedings of the Entomological Society of Ontario 93:93–94.",NA,NA,NA
BFR154,Peterson and Hůrka,1974,Article,"Peterson, B. V., and K. Hůrka. 1974. Ten new species of bat flies of the genus trichobius (Diptera: Streblidae). The Canadian Entomologist 106:1049–1066.",NA,"Americam Museum of Natural History, United Stated. Canadian National Collection of Insects, Canada. Field Museum of Natural History, United Stated. Science Museum Institute of Jamaica, Jamaica. Museum of Comparative Zoology, Harvard University, United States. Stanford University Natural History Museum, United States. Deparment of Systematic Zoology Charles University, Czecho. United States National Museum of Natural History, United States. ",NA
