assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
21983827,136445,Harpiola isodon,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Harpiola,isodon,,,,"Kuo, Fang, Csorba &amp; Lee, 2006",Least Concern,,3.1,Unknown,Global
21983924,136448,Natalus espiritosantensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,NATALIDAE,Natalus,espiritosantensis,,,,"Ruschi, 1951",Near Threatened,,3.1,Unknown,Global
21984011,136433,Eumops floridanus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,MOLOSSIDAE,Eumops,floridanus,,,,"G.M. Allen, 1932",Vulnerable,C2a(i),3.1,Decreasing,Global
21984147,4422,Chalinolobus picatus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Chalinolobus,picatus,,,,"(Gould, 1852)",Near Threatened,A2c+4c,3.1,Decreasing,Global
21984276,4421,Chalinolobus nigrogriseus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Chalinolobus,nigrogriseus,,,,"(Gould, 1856)",Least Concern,,3.1,Stable,Global
21984385,136428,Kerivoula lenis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Kerivoula,lenis,,,,"Thomas, 1916",Least Concern,,3.1,Unknown,Global
21984685,136429,Myotis laniger,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,laniger,,,,"Peters, 1871",Least Concern,,3.1,Unknown,Global
21984825,4420,Chalinolobus neocaledonicus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Chalinolobus,neocaledonicus,,,,"Revilliod, 1914",Endangered,C2a(ii),3.1,Decreasing,Global
21985022,136420,Saccopteryx antioquensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,EMBALLONURIDAE,Saccopteryx,antioquensis,,,,"Muñoz &amp; Cuartas, 2001",Endangered,B1ab(iii),3.1,Unknown,Global
21985132,4425,Chalinolobus tuberculatus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Chalinolobus,tuberculatus,,,,"(Forster, 1844)",Critically Endangered,A2ace,3.1,Decreasing,Global
21985267,136424,Micronycteris microtis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Micronycteris,microtis,,,,"Miller, 1898",Least Concern,,3.1,Stable,Global
21985433,136423,Cynopterus minutus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Cynopterus,minutus,,,,"Miller, 1906",Least Concern,,3.1,Decreasing,Global
21985717,21878,Thyroptera lavali,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,THYROPTERIDAE,Thyroptera,lavali,,,,"Pine, 1993",Data Deficient,,3.1,Unknown,Global
21985811,21877,Thyroptera discifera,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,THYROPTERIDAE,Thyroptera,discifera,,,,"(Lichtenstein &amp; Peters, 1855)",Least Concern,,3.1,Unknown,Global
21985931,136477,Hipposideros rotalis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,HIPPOSIDERIDAE,Hipposideros,rotalis,,,,"Francis, Kock &amp; Habersetzer, 1999",Least Concern,,3.1,Unknown,Global
21986047,136478,Hipposideros grandis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,HIPPOSIDERIDAE,Hipposideros,grandis,,,,"G.M. Allen, 1936",Least Concern,,3.1,Unknown,Global
21986182,136465,Myzopoda schliemanni,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,MYZOPODIDAE,Myzopoda,schliemanni,,,,"Goodman, Rakotondraparany &amp; Kofoky, 2007",Least Concern,,3.1,Unknown,Global
21986274,4414,Chalinolobus dwyeri,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Chalinolobus,dwyeri,,,,"Ryan, 1966",Vulnerable,"A2c; B2ab(ii,iii,v)",3.1,Decreasing,Global
21986404,6563,Diclidurus isabella,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,EMBALLONURIDAE,Diclidurus,isabella,,,,"(Thomas, 1920)",Least Concern,,3.1,Unknown,Global
21986499,6564,Diclidurus scutatus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,EMBALLONURIDAE,Diclidurus,scutatus,,,,"Peters, 1869",Least Concern,,3.1,Unknown,Global
21986615,6561,Diclidurus albus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,EMBALLONURIDAE,Diclidurus,albus,,,,"Wied-Neuwied, 1820",Least Concern,,3.1,Unknown,Global
21986793,6562,Diclidurus ingens,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,EMBALLONURIDAE,Diclidurus,ingens,,,,"Hernandez-Camacho, 1955",Data Deficient,,3.1,Unknown,Global
21986909,17567,Platyrrhinus brachycephalus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Platyrrhinus,brachycephalus,,,,"(Rouk &amp; Carter, 1972)",Least Concern,,3.1,Stable,Global
21987212,17565,Platyrrhinus lineatus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Platyrrhinus,lineatus,,,,"(É. Geoffroy, 1810)",Least Concern,,3.1,Stable,Global
21987430,136631,Rhinolophus shortridgei,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,shortridgei,,,,"K. Andersen, 1918",Data Deficient,,3.1,Unknown,Global
21987501,136627,Lasiurus minor,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Lasiurus,minor,,,,"Miller, 1931",Vulnerable,A2c,3.1,Decreasing,Global
21987618,13240,Mesophylla macconnelli,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Mesophylla,macconnelli,,,,"Thomas, 1901",Least Concern,,3.1,Unknown,Global
21987754,136610,Pteronotus paraguanensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,MORMOOPIDAE,Pteronotus,paraguanensis,,,,"Linares &amp; Ojasti, 1974",Endangered,B1ab(iii),3.1,Decreasing,Global
21987867,136611,Cynomops mexicanus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,MOLOSSIDAE,Cynomops,mexicanus,,,,"Jones &amp; Genoways, 1967",Least Concern,,3.1,Unknown,Global
21988055,140,Acerodon leucotis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Acerodon,leucotis,,,,"(Sanborn, 1950)",Vulnerable,A4cd,3.1,Decreasing,Global
21988328,139,Acerodon jubatus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Acerodon,jubatus,,,,"(Eschscholtz, 1831)",Endangered,A2cd,3.1,Decreasing,Global
21988719,137,Acerodon celebensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Acerodon,celebensis,,,,"Peters, 1867",Vulnerable,A2d,3.1,Decreasing,Global
21988884,17487,Platalina genovensium,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Platalina,genovensium,,,,"Thomas, 1928",Near Threatened,,3.1,Unknown,Global
21988965,136659,Leptonycteris yerbabuenae,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Leptonycteris,yerbabuenae,,,,"Martínez &amp; Villa-R, 1940",Near Threatened,,3.1,Decreasing,Global
