SiteCode,RefCode,YearStart,YearFinish,Duration,SamplingEffort,BatEcologicalScale,FlyEcologicalScale,BatSamplingMethod,SamplingNights,SamplingHours,SamplingMistnets,SamplingStrata,SamplingSeason,Observation
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA218,BFR054,2004,2004,1,21600,all,all,mist nets,NA,6,10,NA,NA,NA
BFA219,BFR054,2004,2005,2,37800,all,all,mist nets,NA,6,10,NA,NA,NA
BFA220,BFR054,NA,NA,1,16200,all,all,mist nets,NA,6,10,NA,NA,NA
BFA221,BFR055,2012,2013,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA222,BFR056,1990,1991,12,NA,all,all,mist nets,35,12,NA,NA,NA,NA
BFA223,BFR057,2002,2002,3,NA,Mormoopid,all,"harp traps, mist nets",NA,1.5,NA,NA,NA,NA
BFA224,BFR058,2014,2015,16,NA,all,all,mist net,NA,NA,NA,NA,NA,NA
BFA225,BFR058,2014,2015,16,NA,all,all,mist net,NA,NA,NA,NA,NA,NA
BFA226,BFR058,2014,2015,16,NA,all,all,mist net,NA,NA,NA,NA,NA,NA
BFA227,BFR058,2014,2015,16,NA,all,all,mist net,NA,NA,NA,NA,NA,NA
BFA228,BFR058,2014,2015,16,NA,all,all,mist net,NA,NA,NA,NA,NA,NA
BFA229,BFR058,2014,2015,16,NA,all,all,mist net,NA,NA,NA,NA,NA,NA
BFA230,BFR058,2014,2015,16,NA,all,all,mist net,NA,NA,NA,NA,NA,NA
BFA231,BFR058,2014,2015,16,NA,all,all,mist net,NA,NA,NA,NA,NA,NA
BFA232,BFR058,2014,2015,16,NA,all,all,mist net,NA,NA,NA,NA,NA,NA
BFA233,BFR058,2014,2015,16,NA,all,all,mist net,NA,NA,NA,NA,NA,NA
BFA234,BFR058,2014,2015,16,NA,all,all,mist net,NA,NA,NA,NA,NA,NA
BFA235,BFR058,2014,2015,16,NA,all,all,mist net,NA,NA,NA,NA,NA,NA
BFA236,BFR058,2014,2015,16,NA,all,all,mist net,NA,NA,NA,NA,NA,NA
BFA237,BFR058,2014,2015,16,NA,all,all,mist net,NA,NA,NA,NA,NA,NA
BFA238,BFR059,1999,2009,242,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA238,BFR059,1999,2009,242,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA238,BFR059,1999,2009,242,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA238,BFR059,1999,2009,242,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA238,BFR059,1999,2009,242,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA238,BFR059,1999,2009,242,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA238,BFR059,1999,2009,242,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA238,BFR059,1999,2009,242,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA238,BFR059,1999,2009,242,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA238,BFR059,1999,2009,242,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA238,BFR059,1999,2009,242,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA238,BFR059,1999,2009,242,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA239,BFR060,2011,2012,13,51840,leafnosed,all,mist nets,NA,NA,NA,NA,NA,NA
BFA159,BFR061,2011,2012,12,NA,all,all,mist nets,36,NA,NA,NA,NA,NA
BFA240,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA241,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA242,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA243,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA244,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA245,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA246,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA247,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA248,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA249,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA250,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA251,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA252,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA253,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA254,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA255,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA256,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA257,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA258,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA259,BFR062,2011,2015,NA,NA,all,all,mist nets,24,4,6,NA,NA,NA
BFA260,BFR063,2017,2018,NA,72000,all,all,mist nets,40,6,10,NA,dry season and rainy season,NA
BFA261,BFR064,2009,2010,10,153000,Single,all,mist nets,45,NA,10,NA,NA,NA
BFA262,BFR065,1998,1999,13,1051315.2,Single,all,mist nets,52,12,3,NA,"summer, autumn, winter, spring",NA
BFA263,BFR066,2007,2007,2,NA,Single,all,mist nets,NA,2,NA,NA,NA,NA
BFA264,BFR067,2016,2017,9,161280,all,all,mist nets,4,7,8,NA,NA,NA
BFA264,BFR067,2016,2017,9,161280,all,all,mist nets,4,7,8,NA,NA,NA
BFA264,BFR067,2016,2017,9,161280,all,all,mist nets,4,7,8,NA,NA,NA
BFA265,BFR067,2016,2017,9,161280,all,all,mist nets,4,7,8,NA,NA,NA
BFA265,BFR067,2016,2017,9,161280,all,all,mist nets,4,7,8,NA,NA,NA
BFA265,BFR067,2016,2017,9,161280,all,all,mist nets,4,7,8,NA,NA,NA
BFA266,BFR067,2016,2017,9,161280,all,all,mist nets,4,7,8,NA,NA,NA
BFA266,BFR067,2016,2017,9,161280,all,all,mist nets,4,7,8,NA,NA,NA
BFA267,BFR068,2017,2018,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA268,BFR068,2017,2018,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA269,BFR069,2018,2018,6,1814400,all,all,mist nets,42,6,10,NA,NA,NA
BFA270,BFR070,2002,2004,15,NA,Single,all,"mist net, H-net, Funnel trap, Harp trap, hand",NA,NA,NA,NA,NA,NA
BFA271,BFR071,2012,2013,5,4613760,all,all,mist net,89,6,10,U,NA,NA
BFA272,BFR072,2010,2011,11,NA,all,all,mist net,22,NA,NA,U,NA,NA
BFA273,BFR073,2016,2017,13,1797120,all,all,mist net,52,6,8,U,NA,NA
BFA274,BFR074,1997,1998,9,NA,all,all,"mist net, handheld hoops nets",NA,NA,NA,NA,NA,NA
BFA275,BFR075,2014,2015,12,25920,all,all,"mist net, hand net",12,2.5,1,U,NA,NA
BFA276,BFR076,2003,2005,22,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA276,BFR076,2003,2005,22,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA276,BFR076,2003,2005,22,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA276,BFR076,2003,2005,22,NA,Single,all,mist net,NA,NA,NA,NA,NA,NA
BFA277,BFR077,2012,2014,7,NA,all,all,sweep nets,NA,NA,NA,U,dry and wet,NA
BFA278,BFR078,2006,2007,5,NA,all,all,mist net,NA,6,6,U,NA,NA
